grape_variety,synonyme
Grenache,"Garnacha,  Cannonau,  Alicante,  Grenache noir,  Granacha Negra,  Granacha Tinta,  Garnatxa,  Guarnaccia"
Pinot Noir,"Pinot Nero,  Spätburgunder,  Blauburgunder,  Blauer Augustiner,  Clevner,  Cortaillod,  Blauer Spätburgunder"
Chardonnay,"Arboisier,  Auvernas Blanc,  Auxerrois Blanc,  Chablis,  Gelber Burgunder,  Weisser Ruländer"
Primitivo,"Plavac Veliki,  Zinfandel"
Gutedel,"Abelone,  Chasselas,  Fendant,  White Sweetwater,  Weißer Gutedel,  Roter Gutedel,  Chasselas"
Pinot Gris,"Grauburgunder,  Grauer Burgunder,  Pinit grigio,  Ruländer"
Mencia,"Fernao Pires Tinta, Giao, Jaen, Jaen du Dao, Jaen Galego, Jaen Galeno, Jaen Noir, Jaen Tinto, Loureiro Tinto, Mencin, Tinto Mencia, Tinto Mollar"
Carignan,"Carignano,  Carinena,  Mazuelo"
Lemberger,"Blaufränkisch,  Blauer Lemberger"
MourvÃ¨dre,"Monastrell,  Mataro"
Syrah,Shiraz
Tempranillo,"Aragones,  Tinta Roriz,  Tinto Fino,  Tinto de Toro,  Tinta del Pais "
Trollinger,"Blauer Trollinger,Vernatsch"
Pinot Blanc,"Weißburgunder,  Weißer Burgunder,  Pinot bianco"
Elbling,"Weißer Elbling,  Roter Elbling"
Frühburgunder,Blauer Frühburgunder
Malinger,Früher Malinger
Malvasier,"Früher roter Malvasier,  Malvoisie"
Müllerrebe,"Schwarzriesling,  Pinot Meunier"
Müller-Thurgau,Rivaner
Muskateller,"Gelber Muskateller,  Roter Muskateller,  Moscato,  Muscat"
Portugieser,Blauer Portugieser
Riesling,"Weißer Riesling,  Rheinriesling,  Riesling renano"
Silvaner,"Grüner Silvaner,  Sylvaner"
Grüner Veltiner,Veltliner
Catarratto,"Carricante, Catarratteddu"
